번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
510,014820,동원시스템즈,032202,플라스틱제품 제조업,"25,618,511","129,419,345,000","5,000",원(KRW),02-589-4700,"경기도 성남시 중원구 갈마치로 302 에이-607호(상대원동, 성남우림라이온스밸리5차)",2298
511,163560,동일고무벨트,032201,고무제품 제조업,"13,350,000","6,675,000,000","500",원(KRW),051-520-9114,부산광역시 금정구 공단동로55번길 28 ,2298
512,109860,동일금속,032403,금속 주조업,"7,000,000","3,500,000,000","500",원(KRW),054-333-5501,경북 영천시 금호읍 덕성리 327,2298
513,032960,동일기연,032602,전자부품 제조업,"3,284,246","4,892,123,000","500",원(KRW),031 -356 -7114,경기도 화성시  남양로930번길 28 동일기연,2298
514,004890,동일산업,032401,1차 철강 제조업,"2,425,215","12,126,075,000","5,000",원(KRW),054-288-7500,경상북도 포항시 남구  괴동로 112 (장흥동) 동일산업(주),2298
515,002690,동일제강,032401,1차 철강 제조업,"15,000,000","7,500,000,000","500",원(KRW),031-677-1234,경기도 안성시 미양면 안성맞춤대로 474-40 ,2298
516,023790,동일철강,032401,1차 철강 제조업,"7,345,085","3,672,542,500","500",원(KRW),051 -316 -5341,부산 북구 학장동 716-1 ,2298
517,005290,동진쎄미켐,032001,기초 화학물질 제조업,"51,414,494","25,707,247,000","500",원(KRW),02-325-9451,인천광역시 서구  백범로 644 ,2298
518,025900,동화기업,031602,나무제품 제조업,"20,198,382","10,599,191,000","500",원(KRW),02-2122-0651,인천광역시 서구 가정로97번길 28(가좌동) ,2298
519,000020,동화약품,032102,의약품 제조업,"27,931,470","27,931,470,000","1,000",원(KRW),02-2021-9300,서울특별시 중구 남대문로9길 24 패스트파이브타워 6~8층(다동),2298
520,000150,두산,137105,회사 본부 및 경영 컨설팅 서비스업,"18,238,102","134,845,735,000","5,000",원(KRW),02-3398-0114,서울특별시 중구  장충단로 275 두산타원,2298
521,011160,두산건설,064101,건물 건설업,"324,657,153","172,328,576,500","500",원(KRW),02-510-3114,서울특별시 강남구  언주로 726(논현동) ,2298
522,241560,두산밥캣,032901,일반 목적용 기계 제조업,"100,249,166","50,124,583,000","500",원(KRW),02-3398-0993,서울특별시 중구 장충단로 275 ,2298
523,042670,두산인프라코어,032902,특수 목적용 기계 제조업,"208,161,279","1,040,806,395,000","5,000",원(KRW),032-211-1114,인천광역시 동구  인중로 489(화수동) ,2298
524,034020,두산중공업,032901,일반 목적용 기계 제조업,"202,146,875","1,010,734,375,000","5,000",원(KRW),055-278-6114,경상남도 창원시 성산구  두산볼보로 22 두산중공업 주식회사,2298
525,016740,두올,033003,자동차 신품 부품 제조업,"27,066,680","67,666,700,000","2,500",원(KRW),02-6922-7132,서울특별시 강남구 영동대로96길 20 대화빌딩 2층 ,2298
526,078590,두올산업,033003,자동차 신품 부품 제조업,"52,788,687","10,557,737,400","200",원(KRW),02-6925-2176,경남 밀양시 산내면 가인리 364번지 ,2298
527,270020,두원석재,032309,기타 비금속 광물제품 제조업,"3,112,607","1,556,303,500","500",원(KRW),033-761-8361,강원도 원주시 귀래면 귀래리 317 주식회사 두원석재,2298
528,073190,듀오백,033201,가구 제조업,"11,968,040","5,984,020,000","500",원(KRW),032-816-4814,인천 서구 가좌동 543-2 ,2298
529,176750,듀켐바이오,032102,의약품 제조업,"8,858,687","4,429,343,500","500",원(KRW),023324868,서울특별시 서대문구 경기대로 47진양빌딩 4층 동관 ,2298
530,030350,드래곤플라이,105802,소프트웨어 개발 및 공급업,"16,008,491","8,004,245,500","500",원(KRW),02-522-9393,서울특별시 서초구 서초중앙로22길 80 (서초동),2298
531,203650,드림시큐리티,105802,소프트웨어 개발 및 공급업,"35,805,754","3,580,575,400","100",원(KRW),02-2233-5533,"서울특별시 송파구 중대로8길 8 3층, 5층, 6층, 7층 (문정동, 서경빌딩)",2298
532,060570,드림어스컴퍼니,074607,기타 전문 도매업,"55,821,439","27,910,719,500","500",원(KRW),(02)3019-1700,서울특별시 서초구  방배로18길 5 BH빌딩 ,2298
533,192650,드림텍,032602,전자부품 제조업,"58,145,762","5,814,576,200","100",원(KRW),031-620-1500,경기도 성남시 분당구 황새울로 314 ,2298
534,220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,664,262","2,132,852,400","200",원(KRW),02-3452-2525,"서울특별시 송파구 법원로 114 B동 511호(문정동,엠스테이트)",2298
535,217620,디딤,095601,음식점업,"37,001,905","3,700,190,500","100",원(KRW),032-819-6870,인천광역시 남동구 논현로46번길 39-24 -,2298
536,187870,디바이스이엔지,032902,특수 목적용 기계 제조업,"6,782,000","3,391,000,000","500",원(KRW),041-629-5200,충청남도 아산시 음봉면 음봉로 169 ,2298
537,066670,디스플레이텍,032602,전자부품 제조업,"18,691,918","9,345,959,000","500",원(KRW),070-7015-3811,경기도 안성시  공단1로 10 (주)디스플레이테크,2298
538,024090,디씨엠,032401,1차 철강 제조업,"11,700,000","6,000,000,000","500",원(KRW),055-366-9991,경상남도 양산시  웅상농공단지길 55 ,2298
539,003160,디아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500","500",원(KRW),02-546-5501,서울특별시 강남구  논현로 703 ,2298
540,001530,디아이동일,074601,상품 중개업,"2,421,420","12,107,100,000","5,000",원(KRW),02-2222-3071,서울특별시 강남구  테헤란로 516 정헌빌딩 8층,2298
541,092200,디아이씨,033003,자동차 신품 부품 제조업,"23,985,369","11,992,684,500","500",원(KRW),052-255-0500,울산광역시 울주군  두동면 봉계농공길 8 ,2298
542,110990,디아이티,032902,특수 목적용 기계 제조업,"18,900,000","1,890,000,000","100",원(KRW),031-831-7000,경기도 화성시 정남면 가장로 355-50 ,2298
543,263690,디알젬,032701,의료용 기기 제조업,"11,325,610","5,662,805,000","500",원(KRW),02-869-8566,경기도 광명시 하안로 60 광명테크노파크 E동 7층 &nbsp;,2298
544,214680,디알텍,032701,의료용 기기 제조업,"48,530,190","4,853,019,000","100",원(KRW),031-779-7400,경기도 성남시 중원구 둔촌대로541번길 29 상대원동 3층,2298
545,263720,디앤씨미디어,105801,"서적, 잡지 및 기타 인쇄물 출판업","12,041,343","6,020,671,500","500",원(KRW),02-333-2513,"서울특별시 구로구 디지털로26길 111, 503호(구로동, 제이앤케이디지털타워) ",2298
546,109740,디에스케이,032902,특수 목적용 기계 제조업,"20,354,763","10,177,381,500","500",원(KRW),031-416-9100,경기도 안산시 상록구  안산테콤1길 21 ,2298
547,033430,디에스티,032902,특수 목적용 기계 제조업,"56,005,025","5,600,502,500","100",원(KRW),031-997-6181,경상남도 창원시 마산회원구 봉암공단9길 26 3층,2298
548,131030,디에이치피코리아,032102,의약품 제조업,"16,564,797","8,282,398,500","500",원(KRW),02-2027-0078,충청북도 청원군 오송읍 오송생명6로 50 (지번주소 : 충청북도 청원군 오송읍 만수리 491),2298
549,196490,디에이테크놀로지,032902,특수 목적용 기계 제조업,"52,518,758","26,259,379,000","500",원(KRW),031-369-8813,경기도 화성시 비봉면 쌍학길 15 (쌍학리 250-2),2298
550,066900,디에이피,032602,전자부품 제조업,"22,744,503","11,372,251,500","500",원(KRW),031-677-0005,경기 안성시 미양면 보체리 404-1 ,2298
551,127120,디엔에이링크,137001,자연과학 및 공학 연구개발업,"11,476,541","5,738,270,500","500",원(KRW),02-3153-1500,서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크,2298
552,092070,디엔에프,032004,기타 화학제품 제조업,"10,761,828","5,380,914,000","500",원(KRW),042-932-7939,대전광역시 대덕구  대화로132번길 142 디엔에프 ,2298
553,134580,디엠티,032604,통신 및 방송 장비 제조업,"11,250,000","5,625,000,000","500",원(KRW),02-3400-4600,"서울특별시 강남구 언주로 726 14층(논현동, 두산빌딩)",2298
554,039840,디오,032701,의료용 기기 제조업,"15,523,602","7,761,801,000","500",원(KRW),051-745-7777,부산광역시 해운대구 센텀서로 66 ,2298
555,196450,디오스텍,032703,사진장비 및 광학기기 제조업,"124,056,371","24,811,274,200","200",원(KRW),031-8006-0030,경기도 용인시 처인구 남사면 당하로 113-12 ,2298
556,013570,디와이,116409,기타 금융업,"26,319,633","13,159,816,500","500",원(KRW),032-810-4100,인천광역시 남동구  남동서로362번길 36 (남촌동),2298
557,210540,디와이파워,032902,특수 목적용 기계 제조업,"11,041,708","5,520,854,000","500",원(KRW),055-278-0800,경상남도 창원시 성산구 웅남로 812 (성주동),2298
558,079810,디이엔티,032902,특수 목적용 기계 제조업,"8,979,530","4,489,765,000","500",원(KRW),031-831-4300,충청남도 천안시 동남구  수신면 장산동길 32 ,2298
559,227100,디자인,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2,660,910","1,330,455,000","500",원(KRW),02-868-0246,서울특별시 양천구 국회대로 162 ,2298
560,113810,디젠스,033003,자동차 신품 부품 제조업,"32,628,051","16,314,025,500","500",원(KRW),041-906-2100,경기도 시흥시 공단1대로27번길 38 (정왕동) ,2298
561,043360,디지아이,032603,컴퓨터 및 주변장치 제조업,"9,000,000","4,500,000,000","500",원(KRW),031-820-8900,경기도 양주시 청담로 52 (주)디지아이 ,2298
562,197140,디지캡,105802,소프트웨어 개발 및 공급업,"7,391,722","3,695,861,000","500",원(KRW),02-3477-2101,서울특별시 강서구 마곡중앙8로7길 11 &nbsp,2298
563,106520,디지탈옵틱,032703,사진장비 및 광학기기 제조업,"73,272,154","36,636,077,000","500",원(KRW),02-538-5370,경기도 화성시 동탄면 동탄산단2길 47 4층,2298
564,068930,디지털대성,168505,일반 교습 학원,"22,544,723","11,272,361,500","500",원(KRW),(02)2104-8600,서울특별시 서초구  방배로 181 단우빌딩  ,2298
565,033130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500","500",원(KRW),02-3701-2821,서울특별시 중구  세종대로21길 52 (태평로1가) ,2298
566,033310,디케이디앤아이,032509,기타 금속 가공제품 제조업,"21,972,411","10,986,205,500","500",원(KRW),02-2636-2431,서울특별시 영등포구  여의대로 14 KT빌딩 16층,2298
567,105740,디케이락,032901,일반 목적용 기계 제조업,"8,262,912","4,131,456,000","500",원(KRW),055-338-0114,경상남도 김해시 주촌면 골든루트로129번길 7 ,2298
568,263020,디케이앤디,032202,플라스틱제품 제조업,"7,763,202","3,881,601,000","500",원(KRW),031-491-6633,경기도 안산시 단원구 별망로 345 ,2298
569,290550,디케이티,032602,전자부품 제조업,"8,231,333","4,115,666,500","500",원(KRW),070-4324-3293,인천광역시 부평구 안남로418번길 10 5층 ,2298
570,007340,디티알오토모티브,032802,일차전지 및 축전지 제조업,"9,994,005","4,997,002,500","500",원(KRW),055-380-5800,울산광역시 울주군 온산읍 처용산업2길 12 디티알 오토모티브,2298
571,187220,디티앤씨,137209,기타 과학기술 서비스업,"10,951,507","5,475,753,500","500",원(KRW),031-329-3411,경기도 용인시 처인구 유림로154번길 42 ,2298
572,026890,디피씨,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","41,678,175","20,839,087,500","500",원(KRW),031-599-0100,경기도 안산시 단원구  산단로19번길  145(목내동),2298
573,163430,디피코,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","3,347,750","1,673,875,000","500",원(KRW),031-688-1500,경기도 군포시 공단로140번길 47-7 ,2298
574,131180,딜리,032603,컴퓨터 및 주변장치 제조업,"29,350,000","2,935,000,000","100",원(KRW),031-860-5500,경기도 동두천시 강변로702번길 30 ,2298
575,042510,라온시큐어,105802,소프트웨어 개발 및 공급업,"31,809,612","15,904,806,000","500",원(KRW),02-561-4545,"서울특별시 강남구 테헤란로 145 역삼동, 우신빌딩 11, 12, 13층 ",2298
576,232680,라온테크,032902,특수 목적용 기계 제조업,"4,318,205","2,159,102,500","500",원(KRW),031-201-0005,경기도 수원시 권선구 산업로156번길 88-4(고색동) ,2298
577,050120,라이브플렉스,074604,생활용품 도매업,"85,319,896","42,659,948,000","500",원(KRW),02-3446-4875,서울특별시 강남구 언주로 702 8층 (논현동),2298
578,171120,라이온켐텍,032004,기타 화학제품 제조업,"18,358,538","9,179,269,000","500",원(KRW),042-930-3300,대전 대덕구 문평동 41-5 ,2298
579,069540,라이트론,032604,통신 및 방송 장비 제조업,"14,168,017","7,084,008,500","500",원(KRW),(042)930-7700,대전광역시 대덕구  문평동로 68 (주)빛과전자 ,2298
580,285770,라이프사이언스테크놀로지,105802,소프트웨어 개발 및 공급업,"3,193,000","1,596,500,000","500",원(KRW),070-8620-8020,"서울특별시 강서구 양천로 401 B-1207(가양동, 강서한강자이타워) ",2298
581,115390,락앤락,032202,플라스틱제품 제조업,"54,186,600","27,500,000,000","500",원(KRW),02-520-9539,충청남도 아산시  선장면 삽교천로 104  (주)락앤락,2298
582,200350,래몽래인,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","3,184,674","1,592,337,000","500",원(KRW),027619978,"서울특별시 강남구 언주로 729 12층(논현동, 마스터스729빌딩)",2298
583,171010,램테크놀러지,032001,기초 화학물질 제조업,"11,571,530","5,785,765,000","500",원(KRW),031-323-1119,경기도 용인시 처인구  양지면 주북로 285 ,2298
584,084650,랩지노믹스,137001,자연과학 및 공학 연구개발업,"9,103,295","4,551,647,500","500",원(KRW),031-628-0702,경기도 성남시 분당구 대왕판교로 700 (삼평동) 6층 ,2298
585,217500,러셀,032902,특수 목적용 기계 제조업,"31,812,000","3,181,200,000","100",원(KRW),043-532-8818,충청북도 진천군 문백면 문진로 320-80 -,2298
586,092590,럭스피아,032601,반도체 제조업,"7,291,098","3,645,549,000","500",원(KRW),070-8671-2500,"경기도 수원시 영통구 광교로 109 10층(이의동, 나노소자특화팹센터) ",2298
587,033600,럭슬,033003,자동차 신품 부품 제조업,"26,959,869","13,479,934,500","500",원(KRW),031 -660 -9900,경기도 평택시  산단로 255 ,2298
588,141080,레고켐바이오,137001,자연과학 및 공학 연구개발업,"10,599,562","5,299,781,000","500",원(KRW),042-861-0688,대전광역시 대덕구 문평서로 8-26(문평동),2298
589,060300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","47,637,698","23,818,849,000","500",원(KRW),031-5171-3800,서울특별시 강남구 학동로23길 55 코데즈빌딩 ,2298
590,038390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업,"8,589,480","4,294,740,000","500",원(KRW),02-2001-4500,서울특별시 중구 을지로 100파인에비뉴 B동 19층 ,2298
591,228670,레이,032701,의료용 기기 제조업,"6,653,267","3,326,633,500","500",원(KRW),031-605-1000,경기도 화성시 삼성1로 332-7 ,2298
592,228850,레이언스,032701,의료용 기기 제조업,"16,591,014","8,295,507,000","500",원(KRW),031-8015-6277,경기도 화성시 삼성1로1길 14 &nbsp,2298
593,238120,로고스바이오,032703,사진장비 및 광학기기 제조업,"3,594,724","1,797,362,000","500",원(KRW),031-478-4185,"경기도 안양시 동안구 시민대로327번길 28 (관양동) 2층,3층 ",2298
594,215100,로보로보,032809,기타 전기장비 제조업,"17,798,454","1,779,845,400","100",원(KRW),02-909-5050,서울특별시 강북구 도봉로54길 6 로보로보빌딩(미아동),2298
595,090360,로보스타,032902,특수 목적용 기계 제조업,"9,750,000","4,875,000,000","500",원(KRW),031-400-3600,경기도 안산시 상록구  수인로 700 ,2298
596,238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업","4,682,166","2,341,083,000","500",원(KRW),02-544-9145,서울특별시 강남구 봉은사로18길 85BM빌딩 2층 ,2298
597,108490,로보티즈,032902,특수 목적용 기계 제조업,"11,251,000","5,625,500,000","500",원(KRW),070-8671-2600,서울특별시 강서구 마곡중앙5로1길 37 &nbsp,2298
598,900260,로스웰,116409,기타 금융업,"141,781,250","43,617,265,221","0",중국위안(CNY),,"Unit 402, 4th Floor, Fairmont House, No. 8 Cotton Tree Drive, Admiralty Hong Kong ",2298
599,067730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","9,340,922","4,670,461,000","500",원(KRW),02-2125-6300,서울특별시 마포구 독막로 281 &nbsp,2298
600,071280,로체시스템즈,032902,특수 목적용 기계 제조업,"15,296,603","7,648,301,500","500",원(KRW),(031)335-9100,경기도 용인시 처인구  경안천로 364 로체시스템즈(주),2298
601,032350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업,"69,010,340","34,505,170,000","500",원(KRW),1577-3000,서울특별시 종로구  세종대로 149 (세종로),2298
602,000400,롯데손해보험,116501,보험업,"134,280,000","134,280,000,000","1,000",원(KRW),02-1588-3344,서울특별시 중구  소월로 3 롯데손해보험빌딩 ,2298
603,023530,롯데쇼핑,074701,종합 소매업,"28,288,755","141,443,775,000","5,000",원(KRW),02-771-2500,서울특별시 중구  남대문로 81 (소공동) ,2298
604,004000,롯데정밀화학,032001,기초 화학물질 제조업,"25,800,000","129,000,000,000","5,000",원(KRW),052-270-6112-4,울산광역시 남구 여천로217번길 19 ,2298
605,286940,롯데정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","15,396,331","76,981,655,000","5,000",원(KRW),02-2626-4000,서울특별시 금천구 가산디지털2로 179 롯데정보통신 ,2298
606,280360,롯데제과,031007,기타 식품 제조업,"6,416,717","3,208,358,500","500",원(KRW),02-2670-6302,서울특별시 영등포구 양평로21길 10 ,2298
607,004990,롯데지주,116409,기타 금융업,"104,909,237","21,179,372,000","200",원(KRW),02-750-7114,서울특별시 송파구 올림픽로 300 롯데월드타워,2298
608,005300,롯데칠성음료,031102,비알코올음료 및 얼음 제조업,"7,993,460","4,384,385,000","500",원(KRW),02-3479-9114,서울특별시 서초구 서초대로70길 15 ,2298
609,011170,롯데케미칼,032001,기초 화학물질 제조업,"34,275,419","171,377,095,000","5,000",원(KRW),02-829-4114,"300, Olympic-ro, Songpa-gu, Seoul, Korea Lotte World Tower ",2298
610,002270,롯데푸드,031005,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000","5,000",원(KRW),02-3469-3114,서울특별시 영등포구 양평로19길 19 -,2298
611,071840,롯데하이마트,074703,가전제품 및 정보통신장비 소매업,"23,607,712","118,038,560,000","5,000",원(KRW),02-1588-0070,서울특별시 강남구  삼성로 156  롯데하이마트빌딩,2298
612,038060,루멘스,032601,반도체 제조업,"47,276,784","23,638,392,000","500",원(KRW),031-8033-2000,경기도 용인시 기흥구 원고매로 12 ,2298
613,082800,루미마이크로,032601,반도체 제조업,"84,345,792","42,172,896,000","500",원(KRW),031-213-9200,경기도 용인시 처인구 남사면 봉무로 309 ,2298
614,162120,루켄테크놀러지스,032809,기타 전기장비 제조업,"1,641,260","820,630,000","500",원(KRW),070-8633-8009,경기도 이천시 마장면 중부대로2670번길 94 ,2298
615,085370,루트로닉,032701,의료용 기기 제조업,"25,387,106","13,139,505,500","500",원(KRW),031-926-7114,경기도 고양시 덕양구 소원로 219 ,2298
616,060240,룽투코리아,105802,소프트웨어 개발 및 공급업,"24,176,133","12,438,066,500","500",원(KRW),02-2640-3530,"서울특별시 금천구 디지털로9길 68 대륭포스트타워 5차, 9층",2298
617,058470,리노공업,032602,전자부품 제조업,"15,242,370","7,621,185,000","500",원(KRW),051-831-3232,부산광역시 강서구 미음산단로105번길 10 ,2298
618,039980,리노스,074704,"섬유, 의복, 신발 및 가죽제품 소매업","39,601,703","19,800,851,500","500",원(KRW),(02)3489-6800,서울특별시 서초구  효령로 317 대한건축사협회  5~6층,2298
619,019570,리더스 기술투자,116402,신탁업 및 집합투자업,"52,864,828","26,432,414,000","500",원(KRW),02-2051-9640,"서울특별시 송파구 법원로 128 문정SK V1 GL메트로시티 C동 616호, 617호",2298
620,016100,리더스코스메틱,032004,기타 화학제품 제조업,"18,187,414","9,093,707,000","500",원(KRW),02-3453-8768,서울특별시 광진구 능동로 90 더클래식 500 씨 404호 ,2298
621,197210,리드,032902,특수 목적용 기계 제조업,"19,991,842","9,995,921,000","500",원(KRW),031-8017-3201,경기도 화성시  향남읍 발안공단로4길 118 &nbsp,2298
622,012700,리드코프,074607,기타 전문 도매업,"26,749,230","13,777,741,000","500",원(KRW),02  -2126-5000,서울특별시 영등포구  은행로 25 안원빌딩 6층 ,2298
623,302550,리메드,032701,의료용 기기 제조업,"5,204,956","2,602,478,000","500",원(KRW),042-934-5560,"대전광역시 유성구 테크노2로 187 (용산동, 미건테크노월드2 301호) ",2298
624,131100,리켐,032001,기초 화학물질 제조업,"29,269,084","2,926,908,400","100",원(KRW),042-825-8630,충청남도 금산군 추부면 금산로 2423-16 리켐(주)- ,2298
625,215090,리퓨어유니맥스,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","19,652,087","1,965,208,700","100",원(KRW),02-368-6298,경기도 안양시 동안구 학의로 268 410호 (관양동),2298
626,277070,린드먼아시아,116402,신탁업 및 집합투자업,"13,500,000","6,750,000,000","500",원(KRW),070-7019-4006,"서울특별시 강남구 테헤란로 234, 4층(역삼동, 삼익빌딩) &nbsp",2298
627,042500,링네트,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","15,216,878","7,608,439,000","500",원(KRW),02-6675-1251,"서울특별시 구로구 디지털로33길 27 409호 (구로동, 삼성IT밸리 4층) ",2298
628,219420,링크제니시스,105802,소프트웨어 개발 및 공급업,"10,000,000","1,000,000,000","100",원(KRW),031-422-3581,"경기도 안양시 동안구 시민대로 401, 319호(관양동, 대륭테크노타운15차) &nbsp",2298
629,027740,마니커,031001,"도축, 육류 가공 및 저장 처리업","158,472,594","79,236,297,000","500",원(KRW),031-281-5300,경기도 용인시 기흥구  용구대로2219번길 3 (신갈동) ,2298
630,305090,마이크로디지탈,032701,의료용 기기 제조업,"3,630,800","1,815,400,000","500",원(KRW),031-701-2225,경기도 성남시 분당구 판교로228번길 15 제윈스동 701호,2298
631,098120,마이크로컨텍솔,032602,전자부품 제조업,"8,312,766","4,156,383,000","500",원(KRW),041-621-4331,충청남도 천안시 서북구 성거읍 오송2길 15-21 ,2298
632,227950,마이크로텍,032902,특수 목적용 기계 제조업,"19,400,928","1,940,092,800","100",원(KRW),02-3779-3129,경기도 안성시 원곡면 원당로 157 -,2298
633,147760,마이크로프랜드,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","10,819,866","5,409,933,000","500",원(KRW),02-944-6400,"서울특별시 노원구 공릉로 232, 10층(공릉동, 서울테크노파크) ",2298
634,038290,마크로젠,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,605,454","5,302,727,000","500",원(KRW),02-2113-7000,서울특별시 금천구  벚꽃로 254 월드메르디앙1차 ,2298
635,204320,만도,033003,자동차 신품 부품 제조업,"46,957,120","46,957,120,000","1,000",원(KRW),031-680-6114,경기도 평택시 포승읍 하만호길 32 ,2298
636,001080,만호제강,032401,1차 철강 제조업,"4,150,000","4,150,000,000","1,000",원(KRW),051-601-0351,부산광역시 강서구  녹산화전로 71 ,2298
637,267980,매일유업,031005,낙농제품 및 식용빙과류 제조업,"7,843,638","3,921,819,000","500",원(KRW),02-2117-2113,서울특별시 종로구 종로1길 50 &nbsp,2298
638,005990,매일홀딩스,031005,낙농제품 및 식용빙과류 제조업,"13,718,304","6,859,152,000","500",원(KRW),02-2127-2113,서울시 종로구 종로1길 50 더케이트윈타워A동 ,2298
639,127160,매직마이크로,032602,전자부품 제조업,"59,715,632","5,971,563,200","100",원(KRW),070-8680-3792,경기도 안산시 단원구 신원로133번길 15 . ,2298
640,093520,매커스,074605,기계장비 및 관련 물품 도매업,"16,163,092","8,081,546,000","500",원(KRW),02-3490-9500,서울특별시 강남구 봉은사로44길 73 ,2298
641,141070,맥스로텍,032902,특수 목적용 기계 제조업,"24,866,457","12,433,228,500","500",원(KRW),053-584-6540,대구광역시 달서구 성서로71길 40 - ,2298
642,088980,맥쿼리인프라,116402,신탁업 및 집합투자업,"349,044,336","1,815,614,802,841","0",원(KRW),02-3705-8565,"서울특별시 중구 소공로 109 소공동, 한화빌딩 9층",2298
643,094800,맵스리얼티1,116402,신탁업 및 집합투자업,"92,834,331","464,171,655,000","0",원(KRW),02-1577-1640,서울 영등포구 여의도동 미래에셋빌딩 45-1,2298
644,100590,머큐리,032604,통신 및 방송 장비 제조업,"14,763,600","7,381,800,000","500",원(KRW),032-580-3114,인천광역시 서구 가재울로 90 ,2298
645,067280,멀티캠퍼스,168506,기타 교육기관,"5,926,779","2,963,389,500","500",원(KRW),02-6262-9114,서울특별시 강남구 언주로 508 서울상록회관 17층,2298
646,072870,메가스터디,105801,"서적, 잡지 및 기타 인쇄물 출판업","11,920,959","5,960,479,500","500",원(KRW),02-6350-8400,"서울특별시 마포구 상암산로 3415층(상암동, 디지털큐브) ",2298
647,215200,메가스터디교육,168505,일반 교습 학원,"11,821,880","1,182,188,000","100",원(KRW),02-3489-8200,서울특별시 서초구 효령로 321 덕원빌딩 &nbsp,2298
648,133750,메가엠디,168505,일반 교습 학원,"22,368,593","11,184,296,500","500",원(KRW),02-3489-8346,서울특별시 서초구 효령로 321 ,2298
649,200580,메디쎄이,032701,의료용 기기 제조업,"3,478,159","1,739,079,500","500",원(KRW),031-879-0414,충청북도 제천시 한방엑스포로 129 (제천시 왕암동 1389),2298
650,041920,메디아나,032701,의료용 기기 제조업,"8,650,496","4,325,248,000","500",원(KRW),033-742-5400,강원도 원주시 문막읍 동화공단로 132 ,2298
651,233250,메디안디노스틱,032103,의료용품 및 기타 의약 관련제품 제조업,"1,746,534","1,083,767,000","500",원(KRW),033-244-0100,강원도 춘천시 동내면 순환대로 878 ,2298
652,236340,메디젠휴먼케어,137001,자연과학 및 공학 연구개발업,"2,304,892","1,152,446,000","500",원(KRW),02-555-9808,서울특별시 강남구 테헤란로 223 큰길타워빌딩 20층,2298
653,086900,메디톡스,032101,기초 의약물질 및 생물학적 제제 제조업,"5,815,090","2,907,545,000","500",원(KRW),043-217-1555,충청북도 청원군  오창읍 각리1길 78 (주)메디톡스,2298
654,015540,메디파트너생명공학,147509,기타 사업지원 서비스업,"6,451,513","3,225,756,500","500",원(KRW),02-3404-3222,"서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티, S-City 16층(상암동)",2298
655,078160,메디포스트,032101,기초 의약물질 및 생물학적 제제 제조업,"15,617,842","7,808,921,000","500",원(KRW),02-3465-6677,경기도 성남시 분당구 대왕판교로 644번길21 -,2298
656,065650,메디프론,074605,기계장비 및 관련 물품 도매업,"29,439,113","14,719,556,500","500",원(KRW),02-545-9277,"서울특별시 강서구  양천로 583 1401(염창동, 우림블루나인비즈니스센터에이동)",2298
657,138040,메리츠금융지주,116409,기타 금융업,"140,224,314","71,442,909,000","500",원(KRW),02-2018-6824,서울특별시 강남구  강남대로 382 ,2298
658,008560,메리츠종금증권,116601,금융 지원 서비스업,"617,155,407","617,155,407,000","1,000",원(KRW),02-785-6611,"서울특별시 영등포구 국제금융로 10 Three IFC, 메리츠종금증권",2298
659,000060,메리츠화재,116501,보험업,"113,680,000","56,840,000,000","500",원(KRW),02-1566-7711,서울특별시 강남구  강남대로 382 메리츠타워,2298
660,021880,메이슨캐피탈,116409,기타 금융업,"99,184,408","49,592,204,000","500",원(KRW),02-3440-1600,전라북도 전주시 완산구 기린대로 213 대우빌딩 14층 12호 ,2298
661,140410,메지온,137001,자연과학 및 공학 연구개발업,"8,654,452","4,327,226,000","500",원(KRW),02-560-8000,서울특별시 강남구  테헤란로87길 35 씨엔드에치빌딩 3층,2298
662,241770,메카로,032004,기타 화학제품 제조업,"10,074,640","5,287,320,000","500",원(KRW),031-646-4400,경기도 평택시 산단로 103-14 ,2298
